frame,t,u,v,r,X,Y,Z,X_smooth,Y_smooth,speed_2d,speed_3d,hook_angle_deg
67470,1125.6245000000001,1029.0,629.0,40.0,7.567621952668539,13.48293211707499,0.5,7.532317741702267,13.453609054524515,21.672397245039868,21.699381610592482,40.39614639557052
67471,1125.6411833333334,1120.0,498.0,103.0,7.25602783795205,13.191509290499402,0.48195144030423326,7.277574703107059,13.197021295509263,1.954478732847515,2.6695066300643226,40.39614639557052
67479,1125.77465,1167.0,464.0,78.0,7.022073443543851,12.935345489806352,0.23926666463764934,7.092625265718279,13.013063481412274,9.600661552687296,9.934773369103803,40.39614639557052
67480,1125.7913333333333,1171.0,461.0,79.0,6.996662230489559,12.907672226121692,0.1966440304169768,6.977469429535938,12.901735612233564,0.8751078317468127,2.8558492936484545,40.39614639557052
67481,1125.8080166666666,1165.0,442.0,59.0,6.983745211801646,12.926809907785646,0.151290943471323,6.963969524849854,12.89617645125302,3.2089807039421268,4.313262331024266,40.39614639557052
67482,1125.8247000000001,1167.0,442.0,60.0,6.973800472121449,12.914109043511456,0.10320740380001403,6.996480751154137,12.938710865951418,1.0499392202049793,3.2216815382128816,40.39614639557052
67483,1125.8413833333334,1158.0,443.0,57.0,7.019465275064399,12.970590439690966,0.05239341140436046,7.008467280466563,12.95148389990944,0.43315591364478123,3.1701955086326343,40.39614639557052
67484,1125.8580666666667,1161.0,459.0,74.0,7.039096578175738,12.966720351739253,0.0,7.0127221652757585,12.945642835504515,0.2123390280000971,0.2123390280000971,40.39614639557052
67487,1125.9081166666667,1169.0,452.0,75.0,6.986449995358958,12.911361979215272,0.0,7.008804834126489,12.935763578157376,2.8610482255508747,2.8610482255508747,40.39614639557052
67488,1125.9248,1171.0,452.0,75.0,6.976543748969488,12.898559380001226,0.0,6.976716966676325,12.900426692041304,0.8882211500899184,0.8882211500899184,40.39614639557052
67490,1125.9581666666668,1171.0,446.0,75.0,6.962772219324546,12.892321442492246,0.0,6.953100406387696,12.882521145223741,3.7363505040223397,3.7363505040223397,40.39614639557052
