frame,x,y,r,score
13649,982,612,43,2998.748420817439
13650,982,610,43,3030.961668377651
13651,982,610,43,3002.558763798639
13652,982,610,43,2494.761159719647
13653,984,607,42,2042.762331674354
13654,984,607,42,2025.9643573554392
13655,984,607,42,1831.5053979972456
13656,988,607,45,1901.5720483684722
13657,988,607,45,1742.2812736452233
13658,988,607,45,2791.302674843682
13659,988,607,45,1800.6994571615182
13660,984,607,42,1989.3839066552707
13661,984,607,42,1705.8193881740099
13662,984,607,42,1442.032964113569
13663,986,604,42,1500.3895069979906
13664,986,603,41,1515.3016157597024
13665,983,604,44,1512.2785505629588
13666,990,598,43,1526.286966791461
13667,987,598,41,1861.2315643650722
13668,989,599,41,2133.0928425238967
13669,992,602,45,1887.5324513978162
13670,992,590,39,1928.383373729499
13671,992,591,39,1953.777661615038
13672,994,590,40,2015.4860589746238
13673,995,590,40,2706.067847004033
13674,996,591,40,2493.3217562556633
13675,997,595,41,2505.5762706915034
13676,999,591,40,2333.7920342808525
13677,1002,589,41,2285.6828801669094
13678,1003,590,41,2475.2621907948464
13679,1004,591,41,2456.488542181571
13680,1005,590,41,2538.178591968763
13683,1016,559,67,2402.8220926444706
13684,1014,560,65,2380.8773497298616
13685,1015,559,64,2429.5806318878585
13686,1002,559,65,2602.4118932286333
13688,1010,547,61,2528.4742264370957
13690,1043,624,18,216.03527809955628
13723,1048,591,39,1996.7040940127574
13724,1049,590,39,2011.0093129230477
13725,1050,587,39,1943.4381155207052
13726,1050,586,39,1784.5506106320786
13727,1050,587,39,1648.2004801906862
13728,1053,584,40,1168.3882571188426
13729,1054,580,38,1049.0264283739164
13731,1059,563,41,1013.2219522454
13732,1059,565,41,1126.3598591716814
13733,1058,571,39,1130.2087101267798
13735,1055,591,44,1294.1888510579136
13736,1058,578,39,1584.9269418986212
13737,1059,576,39,1437.2211249664442
13738,1059,574,39,1555.1655907546638
13739,1060,574,38,1586.8062842401266
13740,1061,573,38,1609.758247085201
13741,1061,574,37,1475.6589934477158
13742,1061,573,37,1487.5310454774547
13743,1062,573,37,1601.4276117527806
13744,1062,573,37,1703.100583566824
13745,1068,582,47,1368.2295802562046
13746,1069,581,47,1234.961373253273
13747,1070,580,47,1267.8534835919538
13748,1068,576,44,1199.629082616051
13749,1065,569,36,1458.1777169383583
13750,1065,564,34,1577.3853682952467
13751,1065,562,33,1346.4341011330248
13752,1072,572,44,1122.5052725093763
13753,1073,570,44,1357.8584650132414
13754,1071,568,41,1480.9383866331148
13755,1069,567,40,1592.3793559297656
13756,1073,565,41,1703.9200234879363
13757,1077,565,43,1574.3267539079832
13758,1073,565,39,2131.39014978658
13759,1074,563,39,2328.987599805376
13760,1076,561,38,2282.3612958585027
13761,1082,564,45,1709.2717070348767
13762,1083,563,46,1704.4292013902625
13763,1081,566,46,1633.231506145117
13764,1083,562,47,1546.7084832529038
13765,1083,563,47,1663.713125972141
13766,1082,562,46,1723.1584876338943
13767,1083,561,46,1517.711505744408
13768,1084,559,46,1747.462656743092
13769,1078,546,34,1513.219259918704
13770,1079,544,34,1907.1988569797961
13771,1079,544,34,1501.3842694165996
13772,1078,549,39,1605.2290332363104
13773,1082,552,39,2116.424460721267
13774,1080,553,38,1879.43266344771
13775,1082,550,38,1410.6612328228953
13776,1082,547,36,1488.770660757496
13777,1085,547,36,1529.4485116578035
13778,1085,545,36,1449.921283092328
13779,1086,537,34,1658.0076495939466
13780,1086,538,34,1778.5137895596013
13781,1088,537,34,1787.067963075042
13782,1088,535,33,1760.596331655685
13783,1089,535,32,1889.6366040724454
13784,1090,534,32,2128.291105496481
13785,1089,534,32,2302.2301100757722
13786,1090,532,32,1852.5768063474204
13787,1090,531,32,1931.3285573146402
13788,1092,529,32,1553.0804321389496
13789,1092,529,32,1507.767961434481
13790,1091,528,31,1450.0301022263097
13791,1093,529,32,1947.9666775254132
13792,1094,528,32,1754.5477386830335
13793,1094,528,32,1787.9517180703074
13794,1096,524,33,1818.7498470223588
13795,1096,527,34,1842.9695440874625
13796,1095,527,33,1884.315869369606
13797,1097,525,33,1850.4981951913057
13798,1095,527,35,1743.0251565198157
13799,1094,525,36,1916.0474397230385
13800,1095,526,36,1905.9347833222364
13801,1095,525,37,1867.2908291077033
13802,1095,525,36,1922.047523488586
13803,1097,527,37,1856.475127296046
13804,1095,525,36,1744.0669306826896
13805,1096,526,38,1864.4938872244315
13806,1101,530,40,1809.2951491321146
13807,1099,530,40,1638.4767106920683
13808,1099,529,40,1377.112198798311
13809,1097,524,40,1007.6325961131636
13810,1098,526,40,1036.0313134543462
13811,1099,527,41,1448.249395190271
13812,1104,534,45,1124.8766644067127
13813,1100,530,43,1463.8376030818354
13814,1105,537,46,1173.2664852306195
13815,1105,535,46,1428.797022567901
13816,1105,534,46,1500.8944018548495
13817,1105,533,47,1269.5930516620415
13818,1105,532,47,1504.7066169029047
13819,1105,531,46,1395.3338619534559
13820,1105,530,47,1214.7827887316237
13821,1106,530,47,1378.5607294950735
13822,1106,530,47,1368.2533790119294
13823,1106,529,47,1250.5876696224298
13824,1117,522,41,1401.7138153193862
13825,1111,529,49,1224.8270438892764
13826,1106,528,47,1374.7632469019907
13827,1107,527,46,1554.0950563740719
13828,1107,527,46,1374.7187459301226
13829,1106,527,47,1327.559464071375
13830,1110,531,49,1243.5395323537869
13831,1110,531,49,1220.908151466447
13836,1126,518,41,1246.2971885915283
13846,1124,521,41,1357.3063185154874
13847,1119,524,44,1216.3484710466212
13848,1125,521,42,1325.18602983129
13849,1124,520,41,1424.901296597216
13850,1131,514,39,1260.0809241709646
13851,1130,516,39,1249.8012336811241
13852,1133,515,40,1252.305480300484
13853,1131,516,39,1388.2919339630982
13854,1133,515,39,1316.3274517711086
13855,1131,517,39,1384.8672998256916
13856,1130,516,37,1525.5777331975514
13857,1130,518,38,1167.857808325782
13858,1132,514,37,1244.78123186736
13859,1132,516,38,1289.7089279562815
